category,Low-demand,Seasonal-demand,Stable-demand,All
Audio,524,1196,2,1722
Automobiles,444,1651,2,2097
Baby & Kids Fashion,1372,3047,3,4422
Beauty,3184,9981,9,13174
Books & Magazines,143,241,1,385
Cameras & Drones,275,447,1,723
Computers & Accessories,549,1005,0,1554
Fashion Accessories,1475,4446,1,5922
Food & Beverages,1062,2426,2,3490
Gaming & Consoles,43,119,0,162
Health,1401,4028,8,5437
Hobbies & Collections,505,1632,2,2139
Home & Living,6670,21643,25,28338
Home Appliances,1050,2550,1,3601
Men Bags,136,412,0,548
Men Clothes,841,3049,1,3891
Men Shoes,289,917,0,1206
Mobile & Gadgets,2726,5287,6,8019
Mom & Baby,973,3798,9,4780
Motorcycles,540,2223,2,2765
Muslim Fashion,4,12,0,16
Pets,820,3196,11,4027
Sports & Outdoors,973,3057,2,4032
Stationery,1893,6288,6,8187
"Tickets, Vouchers & Services",4,24,0,28
Travel & Luggage,298,926,0,1224
Watches,145,371,0,516
Women Bags,598,1943,1,2542
Women Clothes,2066,6988,3,9057
Women Shoes,636,1916,0,2552
All,31639,94819,98,126556
